s,left,right
1.36,1.7275095316103266,1.1837466760102657
1.37,1.728036649454113,1.1828562245684564
1.38,1.7286557860338854,1.1818186280986047
1.39,1.729438870618289,1.1807536199728486
1.4,1.730439505025342,1.1797668369276861
1.41,1.731590486228937,1.1788709981462948
1.42,1.7327757094387652,1.1780412098144948
1.43,1.733878931656306,1.1772524718146797
1.44,1.7347875993863022,1.1764798815185027
1.45,1.7354793542082556,1.1757009195591153
1.46,1.7360251010540975,1.174895530905527
1.47,1.7365000482298403,1.1740437742365681
1.48,1.7369793614550284,1.1731257631218777
1.49,1.7375146333281635,1.1721519951417665
1.5,1.7380947845490715,1.171213747321687
1.51,1.7386984359366437,1.170415572472324
1.52,1.7393042083097723,1.1698620234043628
1.53,1.739893274833538,1.169634646267679
1.54,1.7404663257024087,1.1696390621448836
1.55,1.7410330611656806,1.1696996761471223
1.56,1.7416032299105701,1.1696404567696959
1.57,1.7421861826691667,1.1692895250414224
1.58,1.7427789490423957,1.1686035690249432
1.59,1.7433641684969996,1.1676894331965808
1.6,1.743923665615884,1.166662465082947
1.61,1.7444392753307003,1.1656379943176114
1.62,1.7449102616380714,1.164701215581502
1.63,1.7453889546738708,1.1638455718984246
1.64,1.7459377475326465,1.1630471073793003
1.65,1.7466190333089466,1.1622818661350494
1.66,1.7474840244228225,1.1615261805768302
1.67,1.7484842501319524,1.1607589535044929
1.68,1.7495188912870363,1.1599604375522048
1.69,1.750486664654979,1.1591108973208053
1.7,1.7512879919949007,1.1581918447309376
1.71,1.7518920142829346,1.1572350645663516
1.72,1.7523585775765222,1.1563386986552124
1.73,1.752753736583297,1.1556054308829848
1.74,1.7531435447207204,1.1551379409333662
1.75,1.7535779686487585,1.1549865179634151
1.76,1.754050748006413,1.1550183338524722
1.77,1.754543345103392,1.1550605763035984
1.78,1.7550372222494035,1.1549404330198558
1.79,1.7555153080932622,1.1545011760939132
1.8,1.7559758727084738,1.153754358919002
1.81,1.7564263302439096,1.1528118369741003
1.82,1.7568742167076328,1.1517868024213036
1.83,1.7573269305329327,1.150791493941806
1.84,1.757784389414106,1.1498863039261007
1.85,1.7582353401863526,1.1490542035889397
1.86,1.7586676166844997,1.1482718364703932
1.87,1.7590690527433732,1.14751584611053
1.88,1.7594362304223923,1.1467634365119497
1.89,1.7598008885141665,1.145994064023592
1.9,1.7602035961448959,1.145187750717309
1.91,1.760684922440813,1.144324518664956
1.92,1.7612804965643722,1.1433900100799044
1.93,1.7619648056463197,1.1424394277808698
1.94,1.76267105154494,1.1415749443790992
1.95,1.7633316604929015,1.1408996149064232
1.96,1.7638795673002823,1.1405152426760865
1.97,1.7642868348968739,1.1404273282678463
1.98,1.764591726652305,1.1404784387149234
1.99,1.7648389028598566,1.1404953968430944
2.0,1.7650730238128087,1.140305025478136
2.01,1.7653307923559363,1.139775316566509
2.02,1.7656121249176588,1.138964582408391
2.03,1.7659063150752665,1.1379860943074402
2.04,1.7662026553741634,1.136953128905942
2.05,1.7664907567435075,1.1359739767227108
2.06,1.7667649388726954,1.1350831856322727
2.07,1.7670231182359069,1.1342589752173216
2.08,1.7672633022245738,1.1334781412296109
2.09,1.767483555813074,1.1327174863489111
2.1,1.7676886379287615,1.1319546186292304
2.11,1.767896163541805,1.1311686928826319
2.12,1.7681252047156821,1.1303390392294617
2.13,1.768394833513872,1.1294449877900676
2.14,1.7687174797196297,1.1284814870555677
2.15,1.7690702119062955,1.1275266323384845
2.16,1.7694183779857486,1.1266860784083712
2.17,1.7697273182408109,1.1260654979734157
2.18,1.7699640728452926,1.1257624476608028
2.19,1.7701260984444431,1.1257292615229681
2.2,1.7702371079394714,1.1257929138676646
2.21,1.770321676433056,1.1257762624463417
2.22,1.7704043328108807,1.125502600678275
2.23,1.770500678285907,1.1248793793324963
2.24,1.7706068065918004,1.123997937836286
2.25,1.770716234567659,1.1229739068991063
2.26,1.770822479052582,1.1219229172304213
2.27,1.7709199303933838,1.12094592058264
2.28,1.7710083455727472,1.1200536844820117
2.29,1.7710895183267878,1.1192227496064089
2.3,1.7711652462949308,1.1184295910401
2.31,1.7712372815675335,1.117650737293559
2.32,1.7713063748647866,1.1168638914217828
2.33,1.7713723005809363,1.1160479016489908
2.34,1.7714347925710114,1.1151816637493637
2.35,1.771493584673002,1.1142441635056983
2.36,1.7715484043862397,1.1132478682870797
2.37,1.7715989634117377,1.11228869417703
2.38,1.7716449710301938,1.1114753416697896
2.39,1.7716861365223053,1.1109165112596002
2.4,1.7717220084255214,1.1106949549037466
2.41,1.7717509918741534,1.1107088467374537
2.42,1.7717709964684234,1.1107763675848987
2.43,1.7717799298120838,1.1107153759831938
2.44,1.7717757894306985,1.1103487192501762
2.45,1.7717590490223396,1.1096366205128794
2.46,1.7717329088502654,1.1086905702666456
2.47,1.7717007093237966,1.107629834183535
2.48,1.7716657898685133,1.1065736422277699
2.49,1.771630580537487,1.1056082159582254
2.5,1.771594919102121,1.104725682287924
2.51,1.7715581844585837,1.1039015118755973
2.52,1.7715197555030433,1.1031111753799776
2.53,1.7714790268389273,1.1023304536258416
2.54,1.7714355230022647,1.1015376931739904
